Person,Membership
Turkson,Dicastery for Evangelization
You Heung-Sik,Dicastery for Evangelization
Zuppi,Dicastery for Evangelization
Ambongo Besungu,Dicastery for Institutes of Consecrated Life and Societies of Apostolic Life
Bo,Dicastery for Institutes of Consecrated Life and Societies of Apostolic Life
De Donatis,Dicastery for Institutes of Consecrated Life and Societies of Apostolic Life
Do Carmo Da Silva,Dicastery for Institutes of Consecrated Life and Societies of Apostolic Life
Duka,Dicastery for Institutes of Consecrated Life and Societies of Apostolic Life
Farrell,Dicastery for Institutes of Consecrated Life and Societies of Apostolic Life
Fernández Artime,Dicastery for Institutes of Consecrated Life and Societies of Apostolic Life
Filoni,Dicastery for Institutes of Consecrated Life and Societies of Apostolic Life
Gambetti,Dicastery for Institutes of Consecrated Life and Societies of Apostolic Life
Ghirlanda,Dicastery for Institutes of Consecrated Life and Societies of Apostolic Life
Kutwa,Dicastery for Institutes of Consecrated Life and Societies of Apostolic Life
Lacroix,Dicastery for Institutes of Consecrated Life and Societies of Apostolic Life
Ladaria Ferrer,Dicastery for Institutes of Consecrated Life and Societies of Apostolic Life
O'Malley,Dicastery for Institutes of Consecrated Life and Societies of Apostolic Life
Prevost,Dicastery for Institutes of Consecrated Life and Societies of Apostolic Life
Rossi,Dicastery for Institutes of Consecrated Life and Societies of Apostolic Life
Steiner,Dicastery for Institutes of Consecrated Life and Societies of Apostolic Life
Sturla Berhouet,Dicastery for Institutes of Consecrated Life and Societies of Apostolic Life
Tagle,Dicastery for Institutes of Consecrated Life and Societies of Apostolic Life
Tobin,Dicastery for Institutes of Consecrated Life and Societies of Apostolic Life
Vérgez Alzaga,Dicastery for Institutes of Consecrated Life and Societies of Apostolic Life
Aveline,Dicastery for Interreligious Dialogue
Baselios,Dicastery for Interreligious Dialogue
Chow Sau-Yan,Dicastery for Interreligious Dialogue
Czerny,Dicastery for Interreligious Dialogue
Gugerotti,Dicastery for Interreligious Dialogue
Hollerich,Dicastery for Interreligious Dialogue
Koch,Dicastery for Interreligious Dialogue
Koovakad,Dicastery for Interreligious Dialogue
López Romero,Dicastery for Interreligious Dialogue
Mangkhanekhoun,Dicastery for Interreligious Dialogue
Nzapalainga,Dicastery for Interreligious Dialogue
Ouédraogo,Dicastery for Interreligious Dialogue
Sako,Dicastery for Interreligious Dialogue
Suharyo Hardjoatmodjo,Dicastery for Interreligious Dialogue
Tagle,Dicastery for Interreligious Dialogue
Coccopalmerio,Dicastery for Legislative Texts
Erdő,Dicastery for Legislative Texts
Farrell,Dicastery for Legislative Texts
Fernández,Dicastery for Legislative Texts
Ghirlanda,Dicastery for Legislative Texts
Gracias,Dicastery for Legislative Texts
Gugerotti,Dicastery for Legislative Texts
Herranz,Dicastery for Legislative Texts
Mamberti,Dicastery for Legislative Texts
Ouellet,Dicastery for Legislative Texts
Prevost,Dicastery for Legislative Texts
Tagle,Dicastery for Legislative Texts
You Heung-Sik,Dicastery for Legislative Texts
Arborelius,Dicastery for Promoting Christian Unity
Costa,Dicastery for Promoting Christian Unity
Czerny,Dicastery for Promoting Christian Unity
Dew,Dicastery for Promoting Christian Unity
Fernández,Dicastery for Promoting Christian Unity
Grech,Dicastery for Promoting Christian Unity
Gugerotti,Dicastery for Promoting Christian Unity
Koch,Dicastery for Promoting Christian Unity
Ladaria Ferrer,Dicastery for Promoting Christian Unity
Nichols,Dicastery for Promoting Christian Unity
Pizzaballa,Dicastery for Promoting Christian Unity
Ricard,Dicastery for Promoting Christian Unity
Tobin,Dicastery for Promoting Christian Unity
Turkson,Dicastery for Promoting Christian Unity
Woelki,Dicastery for Promoting Christian Unity
Barreto Jimeno,Dicastery for Promoting Integral Human Development
Francis,Dicastery for Promoting Integral Human Development
Krajewski,Dicastery for Promoting Integral Human Development
Mangkhanekhoun,Dicastery for Promoting Integral Human Development
Mcelroy,Dicastery for Promoting Integral Human Development
Montenegro,Dicastery for Promoting Integral Human Development
Poola,Dicastery for Promoting Integral Human Development
Zuppi,Dicastery for Promoting Integral Human Development
Betori,Dicastery for the Causes of Saints
Brislin,Dicastery for the Causes of Saints
Burke,Dicastery for the Causes of Saints
Filoni,Dicastery for the Causes of Saints
Harvey,Dicastery for the Causes of Saints
Koch,Dicastery for the Causes of Saints
Mamberti,Dicastery for the Causes of Saints
Marto Dos Santos,Dicastery for the Causes of Saints
Mendonça,Dicastery for the Causes of Saints
Montenegro,Dicastery for the Causes of Saints
Petrocchi,Dicastery for the Causes of Saints
Piacenza,Dicastery for the Causes of Saints
Ryłko,Dicastery for the Causes of Saints
Sarah,Dicastery for the Causes of Saints
Semeraro,Dicastery for the Causes of Saints
Tscherrig,Dicastery for the Causes of Saints
Advincula,Dicastery for the Clergy
Arborelius,Dicastery for the Clergy
Aviz,Dicastery for the Clergy
Betori,Dicastery for the Clergy
Bustillo,Dicastery for the Clergy
Clemente,Dicastery for the Clergy
De Donatis,Dicastery for the Clergy
García Rodríguez,Dicastery for the Clergy
Nichols,Dicastery for the Clergy
Nycz,Dicastery for the Clergy
O'Malley,Dicastery for the Clergy
Ouellet,Dicastery for the Clergy
Petrocchi,Dicastery for the Clergy
Porras Cardozo,Dicastery for the Clergy
Prevost,Dicastery for the Clergy
Rocha,Dicastery for the Clergy
Scherer,Dicastery for the Clergy
Woelki,Dicastery for the Clergy
You Heung-Sik,Dicastery for the Clergy
Fernández,Dicastery for the Doctrine of the Faith
Filoni,Dicastery for the Doctrine of the Faith
Ghirlanda,Dicastery for the Doctrine of the Faith
Gugerotti,Dicastery for the Doctrine of the Faith
Koch,Dicastery for the Doctrine of the Faith
Mendonça,Dicastery for the Doctrine of the Faith
Mulla,Dicastery for the Doctrine of the Faith
O'Malley,Dicastery for the Doctrine of the Faith
Onaiyekan,Dicastery for the Doctrine of the Faith
Ouellet,Dicastery for the Doctrine of the Faith
Parolin,Dicastery for the Doctrine of the Faith
Prevost,Dicastery for the Doctrine of the Faith
Schönborn,Dicastery for the Doctrine of the Faith
Semeraro,Dicastery for the Doctrine of the Faith
Turkson,Dicastery for the Doctrine of the Faith
Arborelius,Dicastery for the Eastern Churches
Baselios,Dicastery for the Eastern Churches
Collins,Dicastery for the Eastern Churches
Dolan,Dicastery for the Eastern Churches
Erdő,Dicastery for the Eastern Churches
Fernández,Dicastery for the Eastern Churches
Filoni,Dicastery for the Eastern Churches
Gugerotti,Dicastery for the Eastern Churches
Koch,Dicastery for the Eastern Churches
Ladaria Ferrer,Dicastery for the Eastern Churches
Marx,Dicastery for the Eastern Churches
Mureşan,Dicastery for the Eastern Churches
Nichols,Dicastery for the Eastern Churches
Osoro Sierra,Dicastery for the Eastern Churches
Parolin,Dicastery for the Eastern Churches
Pizzaballa,Dicastery for the Eastern Churches
Poli,Dicastery for the Eastern Churches
Prevost,Dicastery for the Eastern Churches
Raï,Dicastery for the Eastern Churches
Sako,Dicastery for the Eastern Churches
Sarah,Dicastery for the Eastern Churches
Schönborn,Dicastery for the Eastern Churches
Semeraro,Dicastery for the Eastern Churches
Souraphiel,Dicastery for the Eastern Churches
Tagle,Dicastery for the Eastern Churches
Zenari,Dicastery for the Eastern Churches
Zuppi,Dicastery for the Eastern Churches
Cobo Cano,"Dicastery for the Laity, the Family and Life"
Farrell,"Dicastery for the Laity, the Family and Life"
Fernández,"Dicastery for the Laity, the Family and Life"
Goh,"Dicastery for the Laity, the Family and Life"
Gregory,"Dicastery for the Laity, the Family and Life"
Lacroix,"Dicastery for the Laity, the Family and Life"
Mcelroy,"Dicastery for the Laity, the Family and Life"
Okpaleke,"Dicastery for the Laity, the Family and Life"
Porras Cardozo,"Dicastery for the Laity, the Family and Life"
Ramazzini Imeri,"Dicastery for the Laity, the Family and Life"
Vérgez Alzaga,Pontifical Commission for Confidential Matters
Aguiar Retes,Pontifical Commission for Latin America
Aós Braco,Pontifical Commission for Latin America
Costa,Pontifical Commission for Latin America
García Rodríguez,Pontifical Commission for Latin America
Lacunza Maestrojuán,Pontifical Commission for Latin America
Martínez Flores,Pontifical Commission for Latin America
Osoro Sierra,Pontifical Commission for Latin America
Porras Cardozo,Pontifical Commission for Latin America
Prevost,Pontifical Commission for Latin America
Ramazzini Imeri,Pontifical Commission for Latin America
Robles Ortega,Pontifical Commission for Latin America
Rocha,Pontifical Commission for Latin America
Rueda Aparicio,Pontifical Commission for Latin America
Sturla Berhouet,Pontifical Commission for Latin America
Tempesta,Pontifical Commission for Latin America
Abril Y Castelló,Cardinal Commission for the Supervision of the Institute for the Works of Religion
Farrell,Pontifical Commission for Vatican City State
Gambetti,Pontifical Commission for Vatican City State
Gugerotti,Pontifical Commission for Vatican City State
Prevost,Pontifical Commission for Vatican City State
Roche,Pontifical Commission for Vatican City State
Sandri,Pontifical Commission for Vatican City State
Tagle,Cardinal Commission for the Supervision of the Institute for the Works of Religion
Bertone,Secretariat of State
Czerny,Secretariat of State
Mamberti,Secretariat of State
Re,Secretariat of State
Tagle,Secretariat of State
Parolin,Secretariat of State
Burke,Supreme Tribunal of the Apostolic Signatura
Erdő,Supreme Tribunal of the Apostolic Signatura
Grech,Supreme Tribunal of the Apostolic Signatura
Harvey,Supreme Tribunal of the Apostolic Signatura
Müller,Supreme Tribunal of the Apostolic Signatura
Sandri,Supreme Tribunal of the Apostolic Signatura
Tobin,Supreme Tribunal of the Apostolic Signatura
Tscherrig,Supreme Tribunal of the Apostolic Signatura
Versaldi,Supreme Tribunal of the Apostolic Signatura
